prcanid,rviswom,rvisman,repcan1,goppty,rideo,rproj,repft,aware,repwom,repman,voter
6,0,1,0.300200015306473,0.833333313465118,0.5,0.200000002980232,0.400000005960464,0.666666686534882,0,1,0
NA,0,1,0.300200015306473,0.333333343267441,NA,NA,0.5,0.666666686534882,0,1,1
6,0,1,0.300200015306473,0.833333313465118,0.166666671633720,0.0250000022351742,0.150000005960464,1,0,1,1
NA,0,1,0.474399983882904,NA,0.166666671633720,0.00333333341404796,0.0199999995529652,0.666666686534882,0,1,0
6,0,1,0.353100001811981,0.833333313465118,0.5,0.25,0.5,0.5,0,1,1
4,0,1,0.305200010538101,0.833333313465118,0.166666671633720,0.116666667163372,0.699999988079071,0.333333343267441,0,1,1
6,0,1,0.300200015306473,0.833333313465118,0.5,0.300000011920929,0.600000023841858,0.833333313465118,0,1,1
7,0,1,0.300200015306473,0.833333313465118,0.333333343267441,0.0500000044703484,0.150000005960464,0.833333313465118,0,1,1
6,0,1,0.300200015306473,0.666666686534882,0.833333313465118,0.833333313465118,1,0.833333313465118,0,1,1
6,0,1,0.300200015306473,1,0.333333343267441,0.233333334326744,0.699999988079071,0.833333313465118,0,1,0
5,0,1,0.300200015306473,0.666666686534882,0.5,0.300000011920929,0.600000023841858,0.666666686534882,0,1,0
6,0,1,0.279599994421005,1,0.5,0.349999994039536,0.699999988079071,0.833333313465118,0,1,1
NA,0,1,0.305200010538101,NA,NA,NA,NA,0,0,1,0
NA,0,1,0.305200010538101,0.166666671633720,0.5,0.425000011920929,0.850000023841858,0.833333313465118,0,1,1
4,0,1,0.305200010538101,0.833333313465118,0.5,0,0,0.166666671633720,0,1,1
NA,0,0,0.383699983358383,0.833333313465118,0.5,NA,NA,0.833333313465118,0,1,1
6,0,0,0.383699983358383,0.666666686534882,0.166666671633720,NA,NA,0.666666686534882,0,1,1
7,0,0,0.383699983358383,0.833333313465118,0.166666671633720,0,0,0.833333313465118,0,1,1
6,0,0,0.383699983358383,0.666666686534882,0.333333343267441,NA,NA,0.833333313465118,0,1,1
5,0,0,0.383699983358383,1,0.5,NA,NA,0.666666686534882,0,1,1
NA,0,0,0.383699983358383,0.333333343267441,NA,NA,NA,0.5,0,1,1
6,1,0,0.533399999141693,0.5,1,0.300000011920929,0.300000011920929,0.166666671633720,1,0,1
